Mission Number,Mission Link,Mission Id,Retailer,Store,Address,Address contd,City,State,Zip / Postal Code,Mission Notes,Inventory Rating,Planogram Rating,Photo Rating,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9
1421,http://localhost:3000/mission/c08a999b-bb2f-4106-82b9-3e1889400607,c08a999b-bb2f-4106-82b9-3e1889400607,Target,Target,3649 S HASTINGS WAY,,EAU CLAIRE,WI,547018182,,4,3,,https://images.awareaf.com/mission-photos/c08a999b-bb2f-4106-82b9-3e1889400607/5be3b6b2-a19f-4697-b157-4bcb6a994588.jpg,https://images.awareaf.com/mission-photos/c08a999b-bb2f-4106-82b9-3e1889400607/9d01a61b-b037-46c2-b210-aa042f23edcc.jpg,https://images.awareaf.com/mission-photos/c08a999b-bb2f-4106-82b9-3e1889400607/b239401d-5a8d-4512-a84b-bbc8d8267270.jpg,https://images.awareaf.com/mission-photos/c08a999b-bb2f-4106-82b9-3e1889400607/c5398bea-0fb8-416b-97b7-85d5b525832b.jpg,,,,,
1441,http://localhost:3000/mission/cda07e6b-e4ca-45e4-a57f-c2f9c6068001,cda07e6b-e4ca-45e4-a57f-c2f9c6068001,Target,Target,4271 TAMIAMI TRL S,,VENICE,FL,342935131,,4,4,,https://images.awareaf.com/mission-photos/cda07e6b-e4ca-45e4-a57f-c2f9c6068001/46cff833-5877-468a-89c3-18a8cdffe3c1.jpg,,,,,,,,
1702,http://localhost:3000/mission/4f4abbb7-d3fc-40bb-90fe-95a900eda969,4f4abbb7-d3fc-40bb-90fe-95a900eda969,Target,Target,900 NICOLLET MALL,,MINNEAPOLIS,MN,554032530,,3,3,,https://images.awareaf.com/mission-photos/4f4abbb7-d3fc-40bb-90fe-95a900eda969/09332e4d-ad4d-48f8-9745-e858272a9c73.jpg,https://images.awareaf.com/mission-photos/4f4abbb7-d3fc-40bb-90fe-95a900eda969/fd3387bf-ed9f-4b9c-aa47-09f1f4391c35.jpg,https://images.awareaf.com/mission-photos/4f4abbb7-d3fc-40bb-90fe-95a900eda969/c84a50c7-a5cf-42bb-af53-9faaddf05d85.jpg,https://images.awareaf.com/mission-photos/4f4abbb7-d3fc-40bb-90fe-95a900eda969/b594bd4c-7d49-4b3b-8512-6f885d7b354e.jpg,,,,,
2134,http://localhost:3000/mission/98ba67e1-4098-4668-9b42-71b73ad39bfd,98ba67e1-4098-4668-9b42-71b73ad39bfd,Target,Target,900 NICOLLET MALL,,MINNEAPOLIS,MN,554032530,,4,2,,https://images.awareaf.com/mission-photos/98ba67e1-4098-4668-9b42-71b73ad39bfd/c1fcffa5-9697-464e-9f90-614d2d4ad5fd.jpg,https://images.awareaf.com/mission-photos/98ba67e1-4098-4668-9b42-71b73ad39bfd/236c7948-ad5c-47eb-8af4-3383997912c4.jpg,,,,,,,
2214,http://localhost:3000/mission/8b0711d4-8676-4728-95d2-b262b967cca9,8b0711d4-8676-4728-95d2-b262b967cca9,Target,Target,18275 KENRICK AVE,,LAKEVILLE,MN,550447306,,3,4,,https://images.awareaf.com/mission-photos/8b0711d4-8676-4728-95d2-b262b967cca9/afcaf2b7-f36f-4ba7-ac10-125b11f31bcd.jpg,https://images.awareaf.com/mission-photos/8b0711d4-8676-4728-95d2-b262b967cca9/5200ca0a-7124-4911-acd5-00146f9b335d.jpg,,,,,,,
2220,http://localhost:3000/mission/b15c9876-b690-4024-bcf0-85f609259bfd,b15c9876-b690-4024-bcf0-85f609259bfd,Target,Target,1515 COUNTY ROAD B W,,ROSEVILLE,MN,551136005,Low on 8oz end cap and most of checklanes were poorly stocked,3,4,,https://images.awareaf.com/mission-photos/b15c9876-b690-4024-bcf0-85f609259bfd/f3e498d3-f649-41b6-9490-751aaf71d034.jpg,https://images.awareaf.com/mission-photos/b15c9876-b690-4024-bcf0-85f609259bfd/63b6bfd2-fefd-4541-8c15-7df2a6605647.jpg,https://images.awareaf.com/mission-photos/b15c9876-b690-4024-bcf0-85f609259bfd/6477bbaf-94b6-4531-b3db-99e8630d27d6.jpg,https://images.awareaf.com/mission-photos/b15c9876-b690-4024-bcf0-85f609259bfd/11338844-b5da-4fce-a525-1fa95a1fccac.jpg,https://images.awareaf.com/mission-photos/b15c9876-b690-4024-bcf0-85f609259bfd/f6c9de56-0d87-44d3-a76c-4ea32527a00c.jpg,,,,
2241,http://localhost:3000/mission/192668f6-eefc-4fa3-8d62-2e414bc73c2e,192668f6-eefc-4fa3-8d62-2e414bc73c2e,Target,Target,3649 S HASTINGS WAY,,EAU CLAIRE,WI,547018182,,4,3,,https://images.awareaf.com/mission-photos/192668f6-eefc-4fa3-8d62-2e414bc73c2e/54d676f5-2e8e-4b5f-94f1-b11801f66ae1.jpg,https://images.awareaf.com/mission-photos/192668f6-eefc-4fa3-8d62-2e414bc73c2e/72cf47f8-2353-4e9c-8c21-9b32a5b9d023.jpg,,,,,,,
2246,http://localhost:3000/mission/2a86563c-be16-4912-b024-cbeffc2d8f68,2a86563c-be16-4912-b024-cbeffc2d8f68,Target,Target,7841 AMANA TRAIL,,INVER GROVE HEIGHTS,MN,55077,"Out of JL pepper 8 oz, JL teriyaki 8oz and LK 2.25 original",2,3,,https://images.awareaf.com/mission-photos/2a86563c-be16-4912-b024-cbeffc2d8f68/7a13a3cc-8e3c-4476-b03a-51bb7c4046e4.jpg,,,,,,,,
2250,http://localhost:3000/mission/a0537c19-37f2-4616-a993-b959be5ce2e3,a0537c19-37f2-4616-a993-b959be5ce2e3,Target,Target,2199 STATE HWY 36 E,,NORTH SAINT PAUL,MN,55109,Photos 1 and 2 are as is while 3 and 4 I pulled some LK bags folder. Old trapper bigger bags (10oz) hinder LK bags unless they are moved forward such as in photos 4 and 5.,3,4,,https://images.awareaf.com/mission-photos/a0537c19-37f2-4616-a993-b959be5ce2e3/95ad0fc1-721f-4237-a237-ddf6afa33e2d.jpg,https://images.awareaf.com/mission-photos/a0537c19-37f2-4616-a993-b959be5ce2e3/cf089434-a644-4cbb-8694-0ca2a1b8be23.jpg,https://images.awareaf.com/mission-photos/a0537c19-37f2-4616-a993-b959be5ce2e3/71196400-c011-4dcf-8658-d010ed5e9ae4.jpg,https://images.awareaf.com/mission-photos/a0537c19-37f2-4616-a993-b959be5ce2e3/6e0a2716-1105-412e-bd98-83a40886f94c.jpg,,,,,
2268,http://localhost:3000/mission/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c,f3e34987-32af-4cd5-b9c0-33e0fcf9c08c,Target,Target,449 COMMERCE DR,,WOODBURY,MN,551254872,Several out of stocks 😕,2,3,,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/0622d6a3-b1fd-4a0e-8d55-a129bcdf454d.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/9253eb3e-e7e9-4d1b-a949-b01496a705ad.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/b569b158-bd67-4012-a4ad-50ef477e7890.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/215718fa-a85a-4b14-95e1-f3c371f7b9a6.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/1a4d1e0a-e11a-41fa-9a4f-8eaec2a162e1.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/5d82387f-3948-4e66-8547-687f939ab247.jpg,https://images.awareaf.com/mission-photos/f3e34987-32af-4cd5-b9c0-33e0fcf9c08c/16171126-388d-420f-8157-85616f690e6c.jpg,,
